id;nam_hoc;hoc_ky;diem_lan_1;diem_lan_2;diem_lan_3;da_duyet_lan_2;da_duyet_lan_3
1;37188;4988;82713;71401;7797;true;false
2;88295;44278;34644;7826;7823;false;false
3;92636;61039;19912;20425;55225;true;true
4;37185;91699;99421;43401;57122;true;false
5;44744;45896;97203;24074;58606;false;false
6;52589;50481;375;23017;83678;false;true
7;20327;6069;42417;60174;22115;true;false
8;90496;91202;61955;22686;48461;true;false
9;37399;30263;3723;36504;1164;false;false
10;52796;47579;27717;73390;49840;false;true
