id;ten_lop;khoa;khoa_hoc
1;navigating Factors;Unbranded Plastic Table Chile;4384
2;Lodge teal Corners;Licensed Metal Ball;93170
3;heuristic;orchid;83539
4;Fantastic magenta Gorgeous;red e-services synthesizing;73570
5;Representative Iraqi Dinar;Chicken District Burg;65333
6;extensible applications;maximized;67260
7;Berkshire;architect Assurance integrate;90146
8;Home Loan Account Grove indigo;circuit Denar;98572
9;cross-platform 24/7 Peru;array PCI;85630
10;Multi-lateral Buckinghamshire Handmade Soft Computer;Rubber Lock syndicate;54120
